Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
5.56,179.4333343506,-0.0419703423,-0.0419703423,0.0000000000,0.00091317,-0.00005321,-0.0035050249,113
5.61,179.4386291504,-0.0029126258,-0.0029126258,0.0000000000,0.00066486,-0.00005321,-0.0059334973,114
5.67,179.4272308350,0.0006882253,0.0006882253,0.0000000000,0.00044601,-0.00004775,-0.0057067774,115
5.72,179.4241790771,-0.0095173937,-0.0095173937,0.0000000000,0.00043989,-0.00004775,-0.0052793083,116
5.77,179.4176635742,-0.0108573446,-0.0108573446,0.0000000000,0.00045368,-0.00004775,-0.0048432776,117
5.82,179.4092102051,-0.0070686804,-0.0070686804,0.0000000000,0.00040455,-0.00003994,-0.0045407594,118
5.87,179.4052429199,-0.0092882667,-0.0092882667,0.0000000000,0.00040661,-0.00003994,-0.0053010398,119
5.92,179.4055328369,-0.0309772523,-0.0309772523,0.0000000000,0.00069449,-0.00003736,-0.0034369382,120
5.97,179.4020996094,-0.0190849825,-0.0190849825,0.0000000000,0.00072812,-0.00003601,-0.0042850665,121
6.02,179.3986663818,-0.0029234121,-0.0029234121,0.0000000000,0.00053600,-0.00003601,-0.0056227980,122
6.07,179.3948822021,-0.0012554026,-0.0012554026,0.0000000000,0.00038452,-0.00003474,-0.0057136308,123
6.12,179.3908691406,0.0051796854,0.0051796854,0.0000000000,0.00019869,-0.00003474,-0.0050678530,124
6.17,179.3875274658,0.0059555514,0.0059555514,0.0000000000,0.00006219,-0.00003236,-0.0053961419,125
6.22,179.3888092041,-0.0249928896,-0.0249928896,0.0000000000,0.00038670,-0.00003370,-0.0046640942,126
6.27,179.3816223145,0.0051295315,0.0051295315,0.0000000000,0.00020047,-0.00003370,-0.0051969479,127
6.32,179.3786926270,-0.0086857014,-0.0086857014,0.0000000000,0.00026321,-0.00003636,-0.0054182979,128
6.37,179.3858489990,0.0054901056,0.0054901056,0.0000000000,0.00011429,-0.00003636,-0.0047762169,129
6.42,179.4003753662,0.0144813665,0.0144813665,0.0000000000,-0.00010475,-0.00003636,-0.0053107494,130
6.47,179.4059448242,0.0051727930,0.0051727930,0.0000000000,-0.00012245,-0.00004049,-0.0055739332,131
6.52,179.3950500488,-0.0133692499,-0.0133692499,0.0000000000,0.00011015,-0.00004049,-0.0047720246,132
6.57,179.3959808350,-0.0162633755,-0.0162633755,0.0000000000,0.00030766,-0.00004448,-0.0049608243,133
6.62,179.4014282227,0.0016753164,0.0016753164,0.0000000000,0.00019746,-0.00004448,-0.0047441069,134
6.67,179.4055480957,-0.0131464708,-0.0131464708,0.0000000000,0.00032161,-0.00004448,-0.0044390326,135
6.72,179.4046783447,0.0185035926,0.0185035926,0.0000000000,-0.00001351,-0.00004853,-0.0069333236,136
6.77,179.4021148682,-0.0021381997,-0.0021381997,0.0000000000,0.00003571,-0.00004853,-0.0057727038,137
6.82,179.4056396484,0.0070932688,0.0070932688,0.0000000000,-0.00005321,-0.00004988,-0.0050149847,138
6.87,179.4092712402,0.0243030824,0.0243030824,0.0000000000,-0.00033893,-0.00005367,-0.0063921877,139
6.92,179.3963928223,0.0019545817,0.0019545817,0.0000000000,-0.00023390,-0.00005367,-0.0059492705,140
6.97,179.3851776123,0.0362701179,0.0362701179,0.0000000000,-0.00061874,-0.00005625,-0.0058214067,141
7.02,179.3871459961,0.0116978970,0.0116978970,0.0000000000,-0.00054929,-0.00005625,-0.0053757230,142
7.07,179.3858795166,0.0317561363,0.0317561363,0.0000000000,-0.00077038,-0.00005625,-0.0065462360,143
7.12,179.3773193359,0.0022004908,0.0022004908,0.0000000000,-0.00052370,-0.00005625,-0.0057889764,144
7.17,179.3632659912,0.0030175754,0.0030175754,0.0000000000,-0.00037028,-0.00005625,-0.0056986798,145
7.22,179.3736877441,0.0094747630,0.0094747630,0.0000000000,-0.00035559,-0.00005482,-0.0060355955,146
7.27,179.3637542725,0.0052957676,0.0052957676,0.0000000000,-0.00028915,-0.00005482,-0.0052436646,147
7.32,179.3688049316,0.0049377688,0.0049377688,0.0000000000,-0.00024012,-0.00005482,-0.0049354327,148
7.37,179.3728027344,0.0052791622,0.0052791622,0.0000000000,-0.00020825,-0.00005858,-0.0057590235,149
7.42,179.3853302002,0.0362969262,0.0362969262,0.0000000000,-0.00060295,-0.00005858,-0.0070448618,150
7.47,179.3790740967,0.0337947986,0.0337947986,0.0000000000,-0.00083769,-0.00005341,-0.0072784888,151
7.52,179.3671722412,0.0029947935,0.0029947935,0.0000000000,-0.00058008,-0.00005341,-0.0053395856,152
7.57,179.3710021973,0.0088765072,0.0088765072,0.0000000000,-0.00049093,-0.00004936,-0.0061362377,153
7.62,179.3677825928,0.0146573750,0.0146573750,0.0000000000,-0.00050332,-0.00005194,-0.0058936417,154
7.67,179.3653411865,0.0165292991,0.0165292991,0.0000000000,-0.00053824,-0.00005194,-0.0062507196,155
7.72,179.3620300293,0.0231163961,0.0231163961,0.0000000000,-0.00065335,-0.00004789,-0.0064250663,156
7.77,179.3695678711,0.0093898354,0.0093898354,0.0000000000,-0.00054437,-0.00004789,-0.0053762668,157
7.82,179.3636627197,0.0030446780,0.0030446780,0.0000000000,-0.00038721,-0.00004789,-0.0052129057,158
7.87,179.3579101562,0.0114636925,0.0114636925,0.0000000000,-0.00039729,-0.00004533,-0.0053829858,159
7.92,179.3653564453,0.0096861473,0.0096861473,0.0000000000,-0.00037861,-0.00004533,-0.0055145067,160
7.97,179.3654479980,0.0092039036,0.0092039036,0.0000000000,-0.00036245,-0.00004262,-0.0057555339,161
8.02,179.3563537598,0.0275250752,0.0275250752,0.0000000000,-0.00059408,-0.00004262,-0.0068473923,162
8.07,179.3441467285,0.0210237155,0.0210237155,0.0000000000,-0.00066171,-0.00004262,-0.0063740785,163
8.12,179.3379821777,0.0276540449,0.0276540449,0.0000000000,-0.00079649,-0.00004128,-0.0065737021,164
8.17,179.3352813721,0.0302962873,0.0302962873,0.0000000000,-0.00092058,-0.00004128,-0.0064678877,165
8.22,179.3392486572,0.0000805004,0.0000805004,0.0000000000,-0.00059798,-0.00004380,-0.0057363224,166
8.27,179.3278808594,0.0267268994,0.0267268994,0.0000000000,-0.00074252,-0.00004122,-0.0074356594,167
8.32,179.3229370117,0.0260293042,0.0260293042,0.0000000000,-0.00082778,-0.00004122,-0.0063445656,168
8.37,179.3291931152,0.0030008404,0.0030008404,0.0000000000,-0.00057492,-0.00004392,-0.0052379334,169
8.42,179.3320617676,0.0033919653,0.0033919653,0.0000000000,-0.00041351,-0.00004392,-0.0052449631,170
8.47,179.3292694092,0.0152413523,0.0152413523,0.0000000000,-0.00046258,-0.00004527,-0.0059811560,171
8.52,179.3324279785,0.0045527705,0.0045527705,0.0000000000,-0.00035749,-0.00004148,-0.0046147420,172
8.57,179.3386230469,0.0080092700,0.0080092700,0.0000000000,-0.00033104,-0.00004148,-0.0059818614,173
8.62,179.3465423584,0.0068731945,0.0068731945,0.0000000000,-0.00029304,-0.00004671,-0.0053652036,174
8.67,179.3392486572,0.0047741148,0.0047741148,0.0000000000,-0.00024582,-0.00004413,-0.0053245994,175
8.72,179.3289337158,0.0098133604,0.0098133604,0.0000000000,-0.00027981,-0.00004413,-0.0061738868,176
8.77,179.3155212402,0.0233941270,0.0233941270,0.0000000000,-0.00048349,-0.00004410,-0.0066323067,177
