Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
16.59,532,-0.641839087,0.0099999998,0.01084447,-1.2837587595,0.0199999996,0.0219322,-1.9258396626,0.0299999993,0.03333354,-2.5681626797,0.0399999991,0.04496481,-3.210808754,0.0500000007,0.05233271,-3.8538594246,0.0599999987,0.06100498,-4.497396946,0.0700000003,0.07156215,-5.1415028572,0.0799999982,0.08139233,-5.7862620354,0.0900000036,0.0947114,-6.4317564964,0.1000000015,0.1100709
16.63,533,-0.641839087,0.0099999998,0.01085334,-1.2837587595,0.0199999996,0.02194004,-1.9258396626,0.0299999993,0.03321257,-2.5681626797,0.0399999991,0.04493693,-3.210808754,0.0500000007,0.05230732,-3.8538594246,0.0599999987,0.06105938,-4.497396946,0.0700000003,0.07176274,-5.1415028572,0.0799999982,0.0810395,-5.7862620354,0.0900000036,0.09477945,-6.4317564964,0.1000000015,0.10955901
16.65,534,-0.641839087,0.0099999998,0.01095615,-1.2837587595,0.0199999996,0.02206608,-1.9258396626,0.0299999993,0.03306688,-2.5681626797,0.0399999991,0.04468266,-3.210808754,0.0500000007,0.0526102,-3.8538594246,0.0599999987,0.06116781,-4.497396946,0.0700000003,0.07171459,-5.1415028572,0.0799999982,0.08087054,-5.7862620354,0.0900000036,0.09473682,-6.4317564964,0.1000000015,0.10919535
16.69,535,-0.641839087,0.0099999998,0.01090802,-1.2837587595,0.0199999996,0.02215844,-1.9258396626,0.0299999993,0.0329239,-2.5681626797,0.0399999991,0.0443556,-3.210808754,0.0500000007,0.05280052,-3.8538594246,0.0599999987,0.0611473,-4.497396946,0.0700000003,0.07185441,-5.1415028572,0.0799999982,0.08036488,-5.7862620354,0.0900000036,0.09501521,-6.4317564964,0.1000000015,0.10905711
16.72,536,-0.641839087,0.0099999998,0.01092566,-1.2837587595,0.0199999996,0.0222382,-1.9258396626,0.0299999993,0.03281457,-2.5681626797,0.0399999991,0.04409196,-3.210808754,0.0500000007,0.05286474,-3.8538594246,0.0599999987,0.06114259,-4.497396946,0.0700000003,0.07165818,-5.1415028572,0.0799999982,0.08011927,-5.7862620354,0.0900000036,0.09508977,-6.4317564964,0.1000000015,0.10866725
16.77,537,-0.641839087,0.0099999998,0.01092674,-1.2837587595,0.0199999996,0.02235105,-1.9258396626,0.0299999993,0.03265534,-2.5681626797,0.0399999991,0.04392851,-3.210808754,0.0500000007,0.05309091,-3.8538594246,0.0599999987,0.06111895,-4.497396946,0.0700000003,0.07184918,-5.1415028572,0.0799999982,0.0801102,-5.7862620354,0.0900000036,0.09529515,-6.4317564964,0.1000000015,0.10810506
16.8,538,-0.641839087,0.0099999998,0.01096853,-1.2837587595,0.0199999996,0.02231823,-1.9258396626,0.0299999993,0.0325138,-2.5681626797,0.0399999991,0.0436449,-3.210808754,0.0500000007,0.05314071,-3.8538594246,0.0599999987,0.06123151,-4.497396946,0.0700000003,0.07170893,-5.1415028572,0.0799999982,0.08009507,-5.7862620354,0.0900000036,0.09581815,-6.4317564964,0.1000000015,0.1078102
16.83,539,-0.641839087,0.0099999998,0.01107828,-1.2837587595,0.0199999996,0.02237288,-1.9258396626,0.0299999993,0.03243339,-2.5681626797,0.0399999991,0.04352908,-3.210808754,0.0500000007,0.05306831,-3.8538594246,0.0599999987,0.06119276,-4.497396946,0.0700000003,0.07147346,-5.1415028572,0.0799999982,0.08035646,-5.7862620354,0.0900000036,0.09627766,-6.4317564964,0.1000000015,0.10758074
16.86,540,-0.641839087,0.0099999998,0.01110884,-1.2837587595,0.0199999996,0.02229474,-1.9258396626,0.0299999993,0.03234372,-2.5681626797,0.0399999991,0.04337318,-3.210808754,0.0500000007,0.05322344,-3.8538594246,0.0599999987,0.06105586,-4.497396946,0.0700000003,0.07146744,-5.1415028572,0.0799999982,0.08054171,-5.7862620354,0.0900000036,0.09638529,-6.4317564964,0.1000000015,0.10735199
16.89,541,-0.641839087,0.0099999998,0.0112243,-1.2837587595,0.0199999996,0.02225072,-1.9258396626,0.0299999993,0.03228245,-2.5681626797,0.0399999991,0.04341104,-3.210808754,0.0500000007,0.05324297,-3.8538594246,0.0599999987,0.06097449,-4.497396946,0.0700000003,0.07141267,-5.1415028572,0.0799999982,0.08071898,-5.7862620354,0.0900000036,0.09658618,-6.4317564964,0.1000000015,0.10745844
