Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
7.15,231,0,0,0.00007259,0,0,-0.00016498,0,0,-0.00010594,0,0,-0.00025325,0,0,-0.00008056,0,0,0.00006918,0,0,-0.00013413,0,0,-0.00005468,0,0,0.00003022,0,0,-0.00000941
7.18,232,0,0,0.00006157,0,0,-0.00004647,0,0,-0.00006084,0,0,-0.0001809,0,0,0.00000348,0,0,-0.00001236,0,0,0.00001201,0,0,-0.00001768,0,0,-0.0000811,0,0,-0.0000706
7.21,233,0,0,0.00004688,0,0,-0.00010382,0,0,-0.00003755,0,0,-0.00020797,0,0,-0.00001001,0,0,-0.00006239,0,0,-0.00002183,0,0,-0.00008507,0,0,-0.00002056,0,0,0.0000383
7.25,234,0,0,0.00002418,0,0,-0.00006427,0,0,-0.00006801,0,0,-0.0002629,0,0,0.00006245,0,0,0.00003306,0,0,0.00013163,0,0,-0.00001801,0,0,-0.00006001,0,0,0.00000832
7.28,235,0,0,0.00002252,0,0,-0.00004824,0,0,-0.00004992,0,0,-0.00011613,0,0,-0.00001087,0,0,0.00006452,0,0,-0.00006788,0,0,-0.0000436,0,0,-0.00008256,0,0,0.00004191
7.31,236,0,0,-0.00001339,0,0,-0.00012453,0,0,-0.00003303,0,0,-0.00015558,0,0,-0.00014034,0,0,0.00003525,0,0,-0.00016212,0,0,-0.00005202,0,0,-0.00007854,0,0,-0.00004479
7.34,237,0,0,0.00004341,0,0,-0.00005334,0,0,-0.00003002,0,0,-0.00008035,0,0,-0.00006796,0,0,-0.00011552,0,0,-0.0000256,0,0,-0.0000375,0,0,-0.00000814,0,0,-0.00008263
7.37,238,0,0,0.00004034,0,0,-0.00006727,0,0,-0.0000489,0,0,-0.0000624,0,0,0.0001861,0,0,-0.00008218,0,0,-0.00000576,0,0,-0.00006634,0,0,0.00000458,0,0,-0.00002182
7.4,239,0,0,0.00001631,0,0,-0.00010229,0,0,-0.00003732,0,0,-0.00017447,0,0,-0.00004954,0,0,-0.0000691,0,0,-0.00006998,0,0,-0.00002796,0,0,-0.00008689,0,0,0.00007017
7.42,240,0,0,-0.00000168,0,0,-0.0001137,0,0,-0.0000128,0,0,-0.00015604,0,0,0.00003389,0,0,-0.00008217,0,0,-0.00007939,0,0,-0.00001966,0,0,-0.000009,0,0,-0.00004978
7.46,241,0,0,0.00003013,0,0,-0.00009168,0,0,-0.00008928,0,0,-0.00015241,0,0,0.00006432,0,0,0.00003645,0,0,0.00009385,0,0,-0.00006246,0,0,-0.00000921,0,0,-0.0000378
7.48,242,0,0,0.00005637,0,0,-0.00005273,0,0,-0.00008532,0,0,-0.00012906,0,0,-0.00004022,0,0,-0.00004161,0,0,-0.00000912,0,0,-0.0000379,0,0,-0.0000596,0,0,-0.0000896
7.52,243,0,0,0.00002956,0,0,-0.00002381,0,0,-0.00005389,0,0,-0.00017414,0,0,-0.00001053,0,0,-0.00003887,0,0,-0.00003232,0,0,0.0000004,0,0,-0.00005361,0,0,-0.00009093
7.54,244,0,0,-0.00002543,0,0,-0.00002297,0,0,0.00003992,0,0,-0.00010602,0,0,-0.00004836,0,0,0.00005687,0,0,-0.00002487,0,0,0.00003503,0,0,-0.00009096,0,0,-0.00000668
7.58,245,0,0,0.00002102,0,0,-0.0000464,0,0,0.00000714,0,0,-0.00017309,0,0,-0.00003507,0,0,-0.00025023,0,0,0.00002851,0,0,0.00000489,0,0,0.00004139,0,0,-0.0000639
7.61,246,0,0,0.00002304,0,0,-0.00005703,0,0,0.00000243,0,0,-0.00015833,0,0,0.00003617,0,0,0.00001893,0,0,0.00000693,0,0,-0.00006582,0,0,-0.00004519,0,0,0.00000576
7.64,247,0,0,0.00005736,0,0,-0.00009223,0,0,-0.00002791,0,0,-0.00028929,0,0,-0.00010871,0,0,-0.00006504,0,0,-0.00005934,0,0,-0.00010669,0,0,0.00000669,0,0,0.0000296
7.66,248,0,0,0.00000362,0,0,-0.00002535,0,0,-0.00014936,0,0,-0.00024144,0,0,-0.0000246,0,0,-0.00002312,0,0,-0.00006924,0,0,-0.00002366,0,0,-0.00012705,0,0,0.00005276
7.7,249,0,0,0.00000513,0,0,0.00003711,0,0,-0.00010363,0,0,-0.00021956,0,0,-0.00016223,0,0,-0.00007016,0,0,0.00001226,0,0,0.00001065,0,0,-0.00003221,0,0,-0.0000191
7.72,250,0,0,0.00000246,0,0,-0.00004549,0,0,-0.00001713,0,0,-0.0001758,0,0,-0.00004735,0,0,-0.00008889,0,0,-0.00006921,0,0,0.00004218,0,0,-0.00011134,0,0,-0.00009247
7.76,251,0,0,0.00003685,0,0,-0.00002838,0,0,-0.00012581,0,0,-0.0002384,0,0,0.00005371,0,0,-0.00003598,0,0,-0.00001831,0,0,0.00003784,0,0,0.00002438,0,0,0.00002759
7.79,252,0,0,-0.00003323,0,0,-0.00004652,0,0,-0.00001682,0,0,-0.00014976,0,0,0.0000014,0,0,-0.00002485,0,0,-0.0000354,0,0,0.00000494,0,0,-0.00005529,0,0,0.00001491
7.82,253,0,0,0.00004295,0,0,-0.00005986,0,0,-0.00017165,0,0,-0.0002487,0,0,-0.00004747,0,0,-0.00013504,0,0,0.00005773,0,0,-0.00000766,0,0,-0.00004773,0,0,-0.0000738
7.85,254,0,0,-0.00003018,0,0,-0.00006159,0,0,-0.00012317,0,0,-0.00019617,0,0,0.00004631,0,0,-0.00001593,0,0,-0.00000656,0,0,0.00000079,0,0,-0.00001652,0,0,-0.00001968
7.88,255,0,0,0.00000821,0,0,-0.00009337,0,0,-0.00016499,0,0,-0.00016228,0,0,-0.0000565,0,0,0.00002097,0,0,0.00000398,0,0,-0.00006947,0,0,-0.00000391,0,0,0.00004666
7.91,256,0,0,0.00005907,0,0,-0.00013526,0,0,-0.00001406,0,0,-0.00014644,0,0,-0.00001391,0,0,-0.0000761,0,0,-0.00008674,0,0,-0.00009047,0,0,-0.0000777,0,0,-0.00007029
7.94,257,0,0,-0.00001814,0,0,-0.00001336,0,0,-0.00005926,0,0,-0.00019326,0,0,-0.00004038,0,0,0.00007767,0,0,0.00005173,0,0,-0.00000499,0,0,-0.00005542,0,0,0.00012047
7.97,258,0,0,-0.00001214,0,0,-0.00006135,0,0,-0.00009315,0,0,-0.00015743,0,0,-0.00000092,0,0,0.00004084,0,0,-0.00003311,0,0,-0.00006505,0,0,-0.00010013,0,0,-0.00003175
8,259,0,0,0.00002347,0,0,-0.00004247,0,0,-0.00006211,0,0,-0.00018264,0,0,-0.00006577,0,0,0.0000177,0,0,-0.00005632,0,0,0.00000251,0,0,-0.00009501,0,0,-0.00001466
8.03,260,0,0,0.00003558,0,0,-0.00007481,0,0,-0.00004614,0,0,-0.00018151,0,0,0.0000041,0,0,-0.00001032,0,0,-0.00006038,0,0,-0.00006832,0,0,-0.00005584,0,0,0.00000532
8.06,261,0,0,-0.00002588,0,0,-0.00005543,0,0,-0.00006403,0,0,-0.00027617,0,0,-0.00004104,0,0,-0.00003445,0,0,-0.00006418,0,0,-0.00005342,0,0,-0.00007151,0,0,0.00001182
8.09,262,0,0,-0.00000147,0,0,-0.00002135,0,0,-0.00003971,0,0,-0.0002211,0,0,-0.00000326,0,0,0.00004191,0,0,-0.00011813,0,0,-0.00010917,0,0,-0.0000011,0,0,-0.00005869
8.12,263,0,0,-0.00007586,0,0,-0.00001038,0,0,-0.00005319,0,0,-0.0000785,0,0,0.00003492,0,0,-0.00012017,0,0,0.00007319,0,0,-0.00002191,0,0,-0.00009237,0,0,0.00000812
