Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm,angle_ref,zmp_ref,iteraciones
0.59,0.00,0,0,89.27,0.00,0.00,0.00,178.94,1.23,10.71,-0.36,0.16,-9.75,-0.22,0.38,-0.50,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90728760,5.30871582,-166.89575195,53.73925781,207.35760498,-0.95562744,0.12557851,-0.03322512,-28.17480469,-4.89959717,-325.50659180,68.76953125,-111.20703125,-20.68927002,-0.03695575,-0.02064149,0.00003507,-0.02490661,0.000000801480894,-0.000035071745515,0.000000000000000,0.0000020276,-0.0000001080,0.0000001804,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,21
0.63,0.00,0,0,89.27,0.00,0.00,0.00,178.93,1.24,10.70,-0.20,0.19,-9.75,-0.38,0.03,-0.04,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.98468018,5.38537598,-167.30834961,53.68530273,207.37097168,-0.88067627,0.12529173,-0.03312571,-28.17480469,-4.93927002,-325.29418945,68.86523438,-111.22070312,-20.46295166,-0.03698408,-0.02068046,0.00003122,-0.02490738,0.000000722992581,-0.000031221657991,0.000000000000000,0.0000018107,-0.0000001020,0.0000002192,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,22
0.66,0.00,0,0,89.27,0.00,0.00,0.00,178.93,1.24,10.70,-0.18,0.18,-9.85,-0.18,-0.11,-0.15,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67510986,5.00207520,-167.51464844,53.69879150,207.41107178,-0.88067627,0.12510177,-0.03301918,-27.37890625,-5.03845215,-325.55969238,68.63281250,-111.37109375,-20.61383057,-0.03692128,-0.02058237,0.00002230,-0.02480759,0.000000475699892,-0.000022297725081,0.000000000000000,0.0000010799,-0.0000000949,0.0000002528,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,23
0.69,0.00,0,0,89.27,0.00,0.00,0.00,178.92,1.26,10.69,-0.14,0.16,-9.89,-0.44,-0.50,-0.10,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82989502,4.77209473,-167.30834961,53.69879150,207.35760498,-0.80572510,0.12525390,-0.03301556,-28.81152344,-4.85992432,-325.50659180,68.82421875,-111.27539062,-20.46295166,-0.03703984,-0.02066222,-0.00004141,-0.02485612,-0.000000687927184,0.000041412189603,0.000000000000000,-0.0000024616,-0.0000000871,0.0000002661,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,24
0.72,0.00,0,0,89.27,0.00,0.00,0.00,178.92,1.27,10.70,-0.04,0.17,-9.90,-0.23,0.33,-0.30,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13946533,5.38537598,-167.30834961,53.73925781,207.42443848,-0.95562744,0.12535352,-0.03315796,-28.43347168,-4.85992432,-325.08178711,68.71484375,-110.76953125,-20.46295166,-0.03689512,-0.02065558,0.00013009,-0.02490374,0.000002474424491,-0.000130090862513,0.000000000000000,0.0000072744,-0.0000000805,0.0000001747,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25
0.75,0.00,0,0,89.27,0.00,0.00,0.00,178.93,1.26,10.69,-0.24,0.13,-9.96,0.40,0.71,0.05,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.98468018,4.94458008,-167.15362549,53.77972412,207.25067139,-0.73077393,0.12533574,-0.03312782,-28.49316406,-5.07812500,-325.29418945,68.78320312,-111.11132812,-20.76470947,-0.03698202,-0.02064147,0.00000886,-0.02487976,-0.000000200812948,-0.000008864328265,0.000000000000000,-0.0000009062,-0.0000000722,0.0000003768,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26
0.77,0.00,0,0,89.27,0.00,0.00,0.00,178.93,1.26,10.68,-0.15,0.16,-9.83,-0.01,0.67,-0.01,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90728760,4.86791992,-167.35992432,53.69879150,207.35760498,-0.73077393,0.12523021,-0.03302385,-28.03552246,-5.07812500,-325.29418945,68.67382812,-111.09765625,-20.53839111,-0.03693245,-0.02060785,0.00004877,-0.02482570,0.000000631402202,-0.000048769637942,0.000000000000000,0.0000016918,-0.0000000615,0.0000003356,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27
0.81,0.00,0,0,89.27,0.00,0.00,0.00,178.93,1.27,10.67,-0.20,0.18,-9.66,-0.22,0.02,0.26,0.47,0.06,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75250244,4.71459961,-167.35992432,53.64483643,207.30413818,-0.73077393,0.12516844,-0.03296207,-28.01562500,-5.07812500,-325.29418945,68.76953125,-111.20703125,-20.61383057,-0.03696410,-0.02063727,0.00000665,-0.02482414,-0.000000269214553,-0.000006645917892,0.000000000000000,-0.0000010306,-0.0000000509,0.0000003745,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,28
0.83,0.00,0,0,89.27,0.00,0.00,0.00,178.92,1.26,10.68,-0.21,0.20,-9.86,-0.68,0.42,-0.04,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90728760,4.69543457,-167.15362549,53.56390381,207.42443848,-0.65582275,0.12542476,-0.03295064,-28.41357422,-4.99877930,-325.50659180,68.67382812,-111.20703125,-20.53839111,-0.03697941,-0.02060226,0.00001440,-0.02479192,-0.000000082197388,-0.000014401972294,0.000000000000000,-0.0000004138,-0.0000000403,0.0000003340,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,29
0.87,0.00,0,0,89.27,0.00,0.00,0.00,178.92,1.26,10.67,-0.25,0.16,-9.73,-0.19,0.33,-0.89,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52032471,5.51953125,-166.63787842,53.69879150,207.46453857,-1.03057861,0.12576213,-0.03329305,-28.41357422,-4.85992432,-324.65698242,68.61914062,-111.15234375,-20.38751221,-0.03705934,-0.02065313,0.00005671,-0.02494035,0.000000621715628,-0.000056708231568,0.000000000000000,0.0000017864,-0.0000000305,0.0000003142,-0.00,1.25,-0.32,-0.35,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30
