Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm
0.65,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.71,13.06,-0.06,0.19,-9.72,-0.59,-0.48,-0.11,0.45,0.09,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35437012,-0.49829102,-158.59222412,56.88214111,204.21643066,1.10552979,0.12904365,-0.03576559,-24.71264648,-2.28118896,-327.73681641,63.17773438,-72.43359375,-20.91558838,-0.02453292,-0.01905250,0.00243787,-0.02450265,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.29,-0.36,-0.22,-0.19,0.27,-0.25,0.03,0.000000000000000,0.0000000000,-258096896.0000000000
0.67,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.71,13.06,-0.21,0.20,-9.85,-0.64,0.50,-0.20,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.68328857,0.57495117,-160.91308594,58.29846191,204.13623047,1.10552979,0.12719855,-0.03634502,-24.29479980,-2.57873535,-326.30310059,64.06640625,-73.29492188,-21.53796387,-0.02486338,-0.01937915,0.00214538,-0.02498247,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.27,-0.36,-0.23,-0.20,0.27,-0.25,0.02,0.000000000000000,0.0000000000,-258096896.0000000000
0.71,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.73,12.94,0.00,0.10,-9.79,0.20,0.14,-0.21,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47045898,0.19165039,-161.99615479,59.01336670,203.78869629,1.25543213,0.12609121,-0.03646702,-22.88208008,-3.13415527,-324.76318359,65.16015625,-74.29296875,-21.34936523,-0.02514831,-0.01975267,0.00188648,-0.02531530,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.26,-0.36,-0.23,-0.20,0.26,-0.25,0.02,0.000000000000000,0.0000000000,-258096896.0000000000
0.73,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.73,13.01,-0.25,0.11,-9.80,-0.68,-0.33,-0.88,0.45,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20568848,1.01574707,-165.81268311,60.87481689,202.73272705,1.38659668,0.12269511,-0.03691056,-23.93664551,-4.30450439,-322.63916016,68.12695312,-75.11328125,-21.27392578,-0.02567353,-0.02068526,0.00133592,-0.02619319,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.22,-0.37,-0.24,-0.21,0.26,-0.26,0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.77,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.74,12.96,0.19,0.12,-9.86,-0.28,0.24,-1.23,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30242920,1.39904785,-167.05047607,61.73809814,202.45202637,1.36785889,0.12163662,-0.03722785,-23.33972168,-4.46319580,-322.32055664,69.12500000,-75.40039062,-21.89630127,-0.02572825,-0.02099947,0.00117046,-0.02653915,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.21,-0.37,-0.24,-0.21,0.26,-0.27,0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.80,0.00,0,0,89.27,0.00,0.00,0.00,179.05,0.75,12.97,-0.22,0.13,-9.75,-0.62,-0.41,0.08,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10894775,1.11157227,-171.74377441,63.61303711,201.78369141,1.74261475,0.11788715,-0.03724823,-23.65808105,-4.56237793,-319.82482910,70.60156250,-77.45117188,-20.67041016,-0.02660234,-0.02161502,0.00045564,-0.02707694,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.18,-0.37,-0.24,-0.22,0.25,-0.27,0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.83,0.00,0,0,89.27,0.00,0.00,0.00,179.03,0.75,12.98,-0.14,0.18,-10.02,-0.21,-0.15,-0.64,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84417725,1.93566895,-172.98156738,64.43585205,201.08862305,1.57397461,0.11677884,-0.03761100,-24.75244141,-4.85992432,-320.46203613,71.40820312,-78.09375000,-21.31164551,-0.02686010,-0.02179381,0.00006774,-0.02733868,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.16,-0.37,-0.25,-0.22,0.25,-0.28,0.00,0.000000000000000,0.0000000000,-258096896.0000000000
0.86,0.00,0,0,89.27,0.00,0.00,0.00,179.04,0.75,12.97,-0.15,0.16,-10.09,0.37,-0.12,-0.39,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05700684,2.12731934,-176.48864746,65.58239746,199.85888672,1.38659668,0.11380040,-0.03754828,-22.94177246,-5.37567139,-319.98413086,72.18750000,-80.65039062,-20.59497070,-0.02751671,-0.02201792,-0.00068157,-0.02753873,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.13,-0.37,-0.25,-0.23,0.24,-0.28,-0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.90,0.00,0,0,89.27,0.00,0.00,0.00,179.04,0.78,12.99,-0.08,0.22,-9.96,-0.32,-0.46,-0.57,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.59875488,1.16906738,-177.41699219,66.33776855,199.27075195,2.04241943,0.11297190,-0.03760338,-25.15039062,-5.27648926,-320.78063965,72.96679688,-81.44335938,-19.95373535,-0.02791763,-0.02221616,-0.00110586,-0.02769582,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.12,-0.37,-0.26,-0.23,0.24,-0.28,-0.01,0.000000000000000,0.0000000000,-258096896.0000000000
0.92,0.00,0,0,89.27,0.00,0.00,0.00,179.03,0.79,12.99,-0.34,0.18,-9.99,-0.17,-0.10,-0.30,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.66290283,1.22656250,-180.30517578,66.75592041,198.04101562,1.92999268,0.11067060,-0.03724324,-24.61315918,-5.41534424,-320.46203613,71.70898438,-83.97265625,-20.10461426,-0.02868059,-0.02183177,-0.00180533,-0.02738079,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.10,-0.37,-0.26,-0.22,0.23,-0.28,-0.02,0.000000000000000,0.0000000000,-258096896.0000000000
