Iteraciones,,Zmp-Ref_1,Zmp-FT_1_1,Zmp-FT_1_2,Zmp-FT_1_3,,Zmp-Ref_2,Zmp-FT_2_1,Zmp-FT_2_2,Zmp-FT_2_3,,Zmp-Ref_3,Zmp-FT_3_1,Zmp-FT_3_2,Zmp-FT_3_3,,Zmp-Ref_4,Zmp-FT_4_1,Zmp-FT_4_2,Zmp-FT_4_3,,Zmp-Ref_5,Zmp-FT_5_1,Zmp-FT_5_2,Zmp-FT_5_3,,Zmp-Ref_6,Zmp-FT_6_1,Zmp-FT_6_2,Zmp-FT_6_3,,Zmp-Ref_7,Zmp-FT_7_1,Zmp-FT_7_2,Zmp-FT_7_3,,Zmp-Ref_8,Zmp-FT_8_1,Zmp-FT_8_2,Zmp-FT_8_3,,Zmp-Ref_9,Zmp-FT_9_1,Zmp-FT_9_2,Zmp-FT_9_3,,Zmp-Ref_10,Zmp-FT_1_0_1,Zmp-FT_1_0_2,Zmp-FT_1_0_3
535,,0.0099999998,0.01090802,0.0076492,0.00867515,,0.02,0.02215844,0.02080806,0.02006397,,0.03,0.0329239,0.02904714,0.02901573,,0.04,0.0443556,0.03932331,0.04295498,,0.05,0.05280052,0.05524705,0.05585255,,0.06,0.0611473,0.06689104,0.06654407,,0.07,0.07185441,0.07516576,0.07673385,,0.08,0.08036488,0.0926521,0.08838663,,0.09,0.09501521,0.10140823,0.09475762,,0.1,0.10905711,0.10898587,0.11245213
536,,0.0099999998,0.01092566,0.00761139,0.00881728,,0.02,0.0222382,0.0207262,0.02012271,,0.03,0.03281457,0.02908531,0.02889747,,0.04,0.04409196,0.03916792,0.04296866,,0.05,0.05286474,0.0549756,0.05555201,,0.06,0.06114259,0.06682114,0.06606559,,0.07,0.07165818,0.07462361,0.07715613,,0.08,0.08011927,0.09266924,0.08781218,,0.09,0.09508977,0.10246177,0.09535729,,0.1,0.10866725,0.10832989,0.11191677
537,,0.0099999998,0.01092674,0.00770005,0.00885885,,0.02,0.02235105,0.02068884,0.01992269,,0.03,0.03265534,0.02914943,0.02920433,,0.04,0.04392851,0.03910527,0.04313217,,0.05,0.05309091,0.0548154,0.05553457,,0.06,0.06111895,0.06620611,0.06581739,,0.07,0.07184918,0.07426491,0.07743011,,0.08,0.0801102,0.0926709,0.08772237,,0.09,0.09529515,0.10322884,0.09570886,,0.1,0.10810506,0.10790303,0.11140702
538,,0.0099999998,0.01096853,0.00759822,0.0089669,,0.02,0.02231823,0.02066392,0.02014268,,0.03,0.0325138,0.02926032,0.02913579,,0.04,0.0436449,0.03911547,0.04303862,,0.05,0.05314071,0.05471267,0.05519829,,0.06,0.06123151,0.06590144,0.06523269,,0.07,0.07170893,0.0740909,0.07799315,,0.08,0.08009507,0.09140595,0.08671765,,0.09,0.09581815,0.10407552,0.09647528,,0.1,0.1078102,0.10796122,0.11125586
539,,0.0099999998,0.01107828,0.00765475,0.00895218,,0.02,0.02237288,0.02082261,0.02011807,,0.03,0.03243339,0.02937991,0.02942509,,0.04,0.04352908,0.03916219,0.0429977,,0.05,0.05306831,0.05461757,0.05529798,,0.06,0.06119276,0.06549778,0.06483456,,0.07,0.07147346,0.07406027,0.07866884,,0.08,0.08035646,0.09055047,0.08628249,,0.09,0.09627766,0.10450344,0.09701741,,0.1,0.10758074,0.10801527,0.1115798
540,,0.0099999998,0.01110884,0.00768035,0.00895254,,0.02,0.02229474,0.02075562,0.0201166,,0.03,0.03234372,0.02948743,0.02956734,,0.04,0.04337318,0.03920848,0.04283322,,0.05,0.05322344,0.05465494,0.05519751,,0.06,0.06105586,0.06508592,0.06454319,,0.07,0.07146744,0.07420973,0.07949843,,0.08,0.08054171,0.09014355,0.08552189,,0.09,0.09638529,0.10488527,0.09789824,,0.1,0.10735199,0.10843234,0.11155339
541,,0.0099999998,0.0112243,0.00773088,0.00890052,,0.02,0.02225072,0.02091358,0.02019122,,0.03,0.03228245,0.02945576,0.02970901,,0.04,0.04341104,0.03941691,0.04248179,,0.05,0.05324297,0.05465162,0.05528191,,0.06,0.06097449,0.06487656,0.06412973,,0.07,0.07141267,0.0748507,0.07971507,,0.08,0.08071898,0.08925138,0.08509182,,0.09,0.09658618,0.10510793,0.09838701,,0.1,0.10745844,0.10941279,0.11158953
542,,0.0099999998,0.01140144,0.00764423,0.00892811,,0.02,0.02231374,0.02096648,0.02035661,,0.03,0.03231774,0.02956794,0.02973238,,0.04,0.04321247,0.0393476,0.04229907,,0.05,0.0533594,0.05467286,0.0553113,,0.06,0.06101382,0.06476996,0.06412254,,0.07,0.07139967,0.0753146,0.08037502,,0.08,0.08100729,0.08867859,0.08453398,,0.09,0.09659145,0.10496543,0.09912737,,0.1,0.1076223,0.11008461,0.11203872
543,,0.0099999998,0.01127421,0.00772726,0.00890626,,0.02,0.02224075,0.02097489,0.02024904,,0.03,0.0323228,0.02966664,0.02977656,,0.04,0.04338477,0.03954846,0.04197524,,0.05,0.05329226,0.054902,0.05536168,,0.06,0.06099011,0.06482054,0.06398328,,0.07,0.07124501,0.07598943,0.08076179,,0.08,0.0815553,0.08785671,0.08441722,,0.09,0.09630387,0.10496482,0.09953061,,0.1,0.10775812,0.11123513,0.11217047
544,,0.0099999998,0.01125712,0.00785717,0.00884407,,0.02,0.02213192,0.02110137,0.02038271,,0.03,0.03243643,0.02960652,0.02991985,,0.04,0.04339435,0.03959026,0.04171044,,0.05,0.0533805,0.05490557,0.05551214,,0.06,0.06101342,0.06493332,0.06403752,,0.07,0.07132581,0.07676779,0.08110281,,0.08,0.08143147,0.08756001,0.08403406,,0.09,0.09638961,0.10481387,0.10002372,,0.1,0.10796061,0.11179073,0.11256135
545,,0.0099999998,0.01126452,0.00767043,0.00883028,,0.02,0.02220285,0.02128899,0.02046174,,0.03,0.03231548,0.02956291,0.02992967,,0.04,0.04344433,0.03970435,0.04153623,,0.05,0.05332734,0.05506648,0.05555977,,0.06,0.06093158,0.06520413,0.0643039,,0.07,0.07161492,0.0772028,0.08124964,,0.08,0.08160454,0.08698884,0.08361985,,0.09,0.0960919,0.10468087,0.10021739,,0.1,0.10833682,0.11293763,0.11258227
546,,0.0099999998,0.01133712,0.00767813,0.00876262,,0.02,0.02208677,0.02136317,0.0205011,,0.03,0.03263781,0.0297476,0.02988815,,0.04,0.04360895,0.03951135,0.04145584,,0.05,0.05341063,0.05501856,0.05574369,,0.06,0.0610493,0.06538246,0.06455319,,0.07,0.07170471,0.07800914,0.08174971,,0.08,0.08169095,0.08663712,0.08346067,,0.09,0.09597507,0.10417229,0.10016623,,0.1,0.10860731,0.11326356,0.11267564
