Time,angle_ref,zmp_ref,zmp_ft,ka,ba,iter
3.77,0.0003647254,0.0000000000,0.00005468,9.9099998474,39.5847282410,127
3.81,-0.0007112183,0.0000000000,0.00003898,9.9099998474,39.5847282410,128
3.83,-0.0002101105,0.0000000000,0.00005713,9.9099998474,39.5847282410,129
3.86,-0.0002513761,0.0000000000,0.00001446,9.9099998474,39.5847282410,130
3.89,-0.0005016531,0.0000000000,0.00003074,9.9099998474,39.5847282410,131
3.93,0.0002055683,0.0000000000,-0.00001905,9.9099998474,39.5847282410,132
3.95,-0.0004678620,0.0000000000,0.00005214,9.9099998474,39.5847282410,133
3.98,0.0005429141,0.0000000000,0.00006514,9.9099998474,39.5847282410,134
4.01,-0.0009740926,0.0000000000,0.00009590,9.9099998474,39.5847282410,135
4.05,-0.0001725185,0.0000000000,0.00001918,9.9099998474,39.5847282410,136
4.08,-0.0009491796,0.0000000000,0.00001994,9.9099998474,39.5847282410,137
4.11,0.0004557134,0.0000000000,0.00004130,9.9099998474,39.5847282410,138
4.14,-0.0004619597,0.0000000000,0.00002489,9.9099998474,39.5847282410,139
4.17,-0.0002321590,0.0000000000,0.00008074,9.9099998474,39.5847282410,140
4.20,-0.0000901379,0.0000000000,0.00000941,9.9099998474,39.5847282410,141
4.22,-0.0009040348,0.0000000000,0.00005210,9.9099998474,39.5847282410,142
4.26,0.0005348019,0.0000000000,0.00001782,9.9099998474,39.5847282410,143
4.28,-0.0009189294,0.0000000000,0.00003885,9.9099998474,39.5847282410,144
4.32,0.0003718094,0.0000000000,0.00007833,9.9099998474,39.5847282410,145
4.34,-0.0006387184,0.0000000000,0.00007268,9.9099998474,39.5847282410,146
4.38,-0.0005534085,0.0000000000,0.00003655,9.9099998474,39.5847282410,147
4.41,-0.0004310423,0.0000000000,0.00004629,9.9099998474,39.5847282410,148
4.44,-0.0000825122,0.0000000000,0.00005332,9.9099998474,39.5847282410,149
4.47,-0.0004630609,0.0000000000,0.00008936,9.9099998474,39.5847282410,150
4.50,-0.0003190746,0.0000000000,0.00001246,9.9099998474,39.5847282410,151
4.52,-0.0008220609,0.0000000000,0.00002640,9.9099998474,39.5847282410,152
4.56,0.0004647212,0.0000000000,0.00004189,9.9099998474,39.5847282410,153
4.59,-0.0005621053,0.0000000000,0.00008143,9.9099998474,39.5847282410,154
4.61,-0.0001695318,0.0000000000,0.00004866,9.9099998474,39.5847282410,155
4.65,-0.0008192953,0.0000000000,0.00003871,9.9099998474,39.5847282410,156
4.68,0.0000004221,0.0000000000,0.00005461,9.9099998474,39.5847282410,157
4.71,-0.0003850214,0.0000000000,0.00008138,9.9099998474,39.5847282410,158
4.74,-0.0003995151,0.0000000000,0.00004851,9.9099998474,39.5847282410,159
4.77,-0.0006756675,0.0000000000,0.00006449,9.9099998474,39.5847282410,160
4.80,-0.0000737519,0.0000000000,0.00000897,9.9099998474,39.5847282410,161
4.83,-0.0006658967,0.0000000000,0.00001094,9.9099998474,39.5847282410,162
4.86,0.0003696715,0.0000000000,0.00002752,9.9099998474,39.5847282410,163
4.89,-0.0003220238,0.0000000000,0.00002809,9.9099998474,39.5847282410,164
4.92,-0.0001519771,0.0000000000,0.00008217,9.9099998474,39.5847282410,165
4.95,-0.0002020182,0.0000000000,0.00000176,9.9099998474,39.5847282410,166
4.98,-0.0008513763,0.0000000000,0.00007337,9.9099998474,39.5847282410,167
5.01,0.0006041918,0.0000000000,0.00001664,9.9099998474,39.5847282410,168
5.04,-0.0012358229,0.0000000000,0.00010422,9.9099998474,39.5847282410,169
5.07,0.0006029726,0.0000000000,0.00001383,9.9099998474,39.5847282410,170
5.10,-0.0015717178,0.0000000000,0.00007714,9.9099998474,39.5847282410,171
5.13,0.0008757854,0.0000000000,0.00004440,9.9099998474,39.5847282410,172
5.16,-0.0013940508,0.0000000000,0.00005779,9.9099998474,39.5847282410,173
5.19,0.0003429962,0.0000000000,0.00004178,9.9099998474,39.5847282410,174
5.22,-0.0007981944,0.0000000000,-0.00000642,9.9099998474,39.5847282410,175
5.25,0.0000128057,0.0000000000,0.00006704,9.9099998474,39.5847282410,176
5.28,0.0001593290,0.0000000000,0.00007698,9.9099998474,39.5847282410,177
5.31,-0.0009396356,0.0000000000,0.00002202,9.9099998474,39.5847282410,178
5.34,-0.0002997536,0.0000000000,0.00007732,9.9099998474,39.5847282410,179
5.37,0.0000465654,0.0000000000,0.00009043,9.9099998474,39.5847282410,180
5.40,-0.0009511669,0.0000000000,0.00004115,9.9099998474,39.5847282410,181
5.43,-0.0004445723,0.0000000000,0.00011837,9.9099998474,39.5847282410,182
5.46,-0.0000850679,0.0000000000,0.00005309,9.9099998474,39.5847282410,183
5.49,-0.0013470786,0.0000000000,0.00007403,9.9099998474,39.5847282410,184
5.52,0.0003103014,0.0000000000,0.00010031,9.9099998474,39.5847282410,185
5.55,-0.0009802320,0.0000000000,0.00007475,9.9099998474,39.5847282410,186
5.58,-0.0005750456,0.0000000000,-0.00000926,9.9099998474,39.5847282410,187
